"node.id","indegree","outdegree","centrality","closeness","pagerank","is.conn","clust"
"Num:AR:NS:C5:MC3:NS046",1,1,0,0,0.000770070884310876,0,NA
"Num:AR:NS:C16:MC15:NS057",1,1,0,0,0.00115985609473671,0,NA
"Num:AR:SB:C3:MC3:SB013",1,1,0,0,0.000774682686810164,0,NA
"Num:AR:FC:C18:MC17:FC100",1,1,0,0,0.00111623761356973,0,NA
"Num:AR:SB:C9",4,4,26.2857142857143,0,0.00106335146139332,0,0.333333333333333
"Num:AR:CP:C5:MC5:CP016",1,1,0,0,0.00161651295237681,0,NA
"Num:AR:MS:C4:MC4:MS100",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:NS:C2:MC1:NS037",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:NS:C2:MC1:NS038",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:NS:C2:MC1:NS033",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:DI:C7:MC6:DI024",1,1,0,0,0.000791550440515161,0,NA
"Num:AR:CP:C7:MC6",3,3,6,0,0.0011492539384894,0,0.333333333333333
"Num:AR:MS:C4:MC3:MS070",1,1,0,0,0.000745135122858144,0,NA
"Num:GE:TS:C0:MC0:TS004",1,1,0,0,0.000870188391151195,0,NA
"Num:AR:DI:C5:MC5:DI039",1,1,0,0,0.000801770797555593,0,NA
"Num:AR:MS:C4:MC4:MS088",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:DI:C7:MC6:DI041",1,1,0,0,0.000791550440515161,0,NA
"Num:AR:WT:C3:MC2:WT015",1,1,0,0,0.000748011357711054,0,NA
"Num:AR:DI:C4:MC4:DI017",1,1,0,0,0.000784774281932814,0,NA
"Num:AR:DI:C4:MC4:DI011",1,1,0,0,0.000784774281932814,0,NA
"Num:AR:MO:C1:MC1",18,18,189.25,0,0.00127637566487555,0,0
"Num:AR:FC:C26:MC24",9,9,190,0,0.00233096251315163,0,0.0555555555555556
"Num:AR:AT:C2:MC1",3,3,1,0,0.000936731485436154,0,0.666666666666667
"Num:AR:MS:C6:MC6:MS121",1,1,0,0,0.00134028457902217,0,NA
"Num:AR:WT:C1:MC0",6,6,40,0,0.000846762261658777,0,0.0666666666666667
"Num:AR:SB",20,20,231.333333333333,0,0.000790524892530276,0,0.210526315789474
"Num:GE:PS:C0:MC0:PS001",1,1,0,0,0.000931912246079529,0,NA
"Num:AR:AT:C4",6,6,69.2944444444445,0,0.000893227130870653,0,0.2
"Num:AR:MS:C4:MC4:MS082",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:NS:C2:MC0:NS007",1,1,0,0,0.000726273451676164,0,NA
"Num:AR:AT:C2:MC0:AT002",1,1,0,0,0.000780186524355731,0,NA
"Num:AR:MS:C4:MC4:MS085",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:MS:C4:MC4:MS086",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:FC:C2",5,5,152,0,0.000746345769505723,0,0.3
"Num:AR:FC:C12:MC8",8,8,223,0,0.00109218756689486,0,0.0357142857142857
"Num:GE:GI:C1:MC1:GI062",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:CP:C3:MC3:CP024",1,1,0,0,0.00075409388044633,0,NA
"Num:CC:RE:C0:MC0:RE024",1,1,0,0,0.000796038502194605,0,NA
